Fraction of score | Absolute score | Amount | Activity
0001 | -15.51 |     1 | 'Succinic acid production (bread)' (kg, None, None)
;0001 | -15.51 |     1 | 'Purification (bread)' (kg, None, None)
;;0.689 | -10.68 | -2.886 | 'market for soybean meal' (kilogram, RoW, None)
;;;0.0819 | -1.27 | -0.2785 | 'soybean meal and crude oil production' (kilogram, RER, None)
;;;;0.0891 | -1.381 | -0.339 | 'market for soybean' (kilogram, RoW, None)
;;;;;0.052 | -0.807 | -0.161 | 'soybean production' (kilogram, RoW, None)
;;;0.583 | -9.039 | -1.903 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;0.635 | -9.846 | -2.417 | 'market for soybean' (kilogram, RoW, None)
;;;;;0.371 | -5.754 | -1.148 | 'soybean production' (kilogram, RoW, None)
;;;;;0.242 | -3.752 | -0.652 | 'soybean production' (kilogram, AR, None)
;;;;;;0.23 | -3.571 | -0.0001822 | 'market for land use change, annual crop' (hectare, AR, None)
;;;;;;;0.23 | -3.571 | -0.0001822 | 'land use change, annual crop' (hectare, AR, None)
;;;;;;;;0.215 | -3.329 | -0.07389 | 'market for land tenure, arable land, measured as carbon net primary productivity, annual crop
;;;;;;;;;0.197 | -3.054 | -0.05691 | 'clear-cutting, secondary forest to arable land, annual crop' (kilogram, AR, None)
;;;;-0.0709 |   1.1 | 0.4511 | 'market for soybean oil, crude' (kilogram, GLO, None)
;;;;;-0.0709 |   1.1 | 0.4511 | 'soybean oil refinery operation' (kilogram, RoW, None)
;;;;;;-0.0969 | 1.502 | 0.4329 | 'market for soybean oil, refined' (kilogram, GLO, None)
;;;;;;;-0.0958 | 1.486 | 0.4329 | 'soybean oil, refined, to generic market for vegetable oil, refined' (kilogram, GLO, None)
;;;;;;;;-0.0958 | 1.486 | 0.4329 | 'market for vegetable oil, refined' (kilogram, GLO, None)
;;;;;;;;;-0.0938 | 1.454 | 0.4329 | 'palm oil, refined, to generic market for vegetable oil, refined' (kilogram, GLO, None)
;;;;;;;;;;-0.0938 | 1.454 | 0.4329 | 'market for palm oil, refined' (kilogram, GLO, None)
;;-0.384 | 5.958 |     1 | 'Bacterial fermentation (bread)' (kg, None, None)
;;;-0.166 | 2.577 |     1 | 'Pre-treatment (bread)' (kg, None, None)
;;;;-0.161 | 2.494 |   7.2 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;;-0.161 | 2.494 |   7.2 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;;;-0.161 | 2.494 |  19.8 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;;;-0.161 | 2.494 |  19.8 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;;;;;;-0.0606 | 0.9399 | 12.68 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
;;;-0.164 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;-0.164 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;;-0.164 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;;-0.164 |  2.54 | 20.16 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;;;;;-0.0617 | 0.9569 | 12.91 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
;;-0.164 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;-0.164 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;-0.164 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;-0.164 |  2.54 | 20.16 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;;;;-0.0617 | 0.9569 | 12.91 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
;;-0.0756 | 1.172 | 8.142 | 'market for sodium chloride, brine solution' (kilogram, GLO, None)
;;;-0.052 | 0.8068 |  5.45 | 'sodium chloride production, brine solution' (kilogram, RoW, None)
;;0.94 | -14.57 |    62 | 'treatment of wastewater, average, wastewater treatment' (cubic meter, Europe without Switzerland, None)
;;;0.0624 | -0.967 | -0.003699 | 'market for concrete, 25MPa' (cubic meter, AT, None)
;;;0.241 | -3.742 | -15.78 | 'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)
;;;;0.0902 | -1.399 | -2.344 | 'market for electricity, medium voltage' (kilowatt hour, UA, None)
;;;;;0.0895 | -1.388 | -2.344 | 'electricity voltage transformation from high to medium voltage' (kilowatt hour, UA, None)
;;;;;;0.0895 | -1.388 | -2.367 | 'market for electricity, high voltage' (kilowatt hour, UA, None)
;;;0.0675 | -1.047 | -0.316 | 'market for reinforcing steel' (kilogram, GLO, None)
;;;0.224 | -3.477 | 7.022 | 'market for sewage sludge, 75% water, WWT, WW, average' (kilogram, Europe without Switzerland, None)
;;;;0.219 | -3.395 | 7.022 | 'treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill' (kilogram, Europe withou
;;;0.0808 | -1.253 | 192.2 | 'market for sewage sludge, 97% water, WWT, WW, average' (kilogram, Europe without Switzerland, None)
;;;;-0.0647 | 1.003 | 192.2 | 'treatment of sewage sludge, 97% water, WWT, WW, average, landfarming' (kilogram, Europe without Swi
;;;;;-0.0988 | 1.532 | 0.2282 | 'market for organic nitrogen fertiliser, as N' (kilogram, GLO, None)
;;;;;;-0.0988 | 1.532 | 0.2282 | 'inorganic nitrogen fertiliser, as N to generic market for organic nitrogen fertiliser, as N' (ki
;;;;;;;-0.0514 | 0.7966 | 0.1215 | 'market for inorganic nitrogen fertiliser, as N' (kilogram, RoW, None)
;;;;;-0.0583 | 0.9046 | 0.3004 | 'market for organic phosphorus fertiliser, as P2O5' (kilogram, GLO, None)
;;;;;;-0.0583 | 0.9046 | 0.3004 | 'inorganic phosphorus, as P2O5 to generic market for organic phosphorus, as P2O5' (kilogram, GLO
;;;;0.145 | -2.256 | -14.8 | 'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)
;;;;;0.145 | -2.256 | -14.8 | 'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspec
;;;;;;0.0551 | -0.8545 | -4.486 | 'market for transport, freight, lorry 16-32 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;;0.0551 | -0.8545 | -4.486 | 'transport, freight, lorry 16-32 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;0.0594 | -0.9214 | -8.972 | 'market for transport, freight, lorry >32 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;;0.0594 | -0.9214 | -8.972 | 'transport, freight, lorry >32 metric ton, EURO6' (ton kilometer, RER, None)
